,pais,Participación,conteo
Lugar origen,Argentina,5.71%,6.00
,Bolivia,1.90%,2.00
,Brazil,8.57%,9.00
,Colombia,7.62%,8.00
,Ecuador,21.90%,23.00
,Mexico,4.76%,5.00
,Peru,47.62%,50.00
,United States,1.90%,2.00
