name,total
Virgen inmaculada,242,,,,,,,,,,,,,,,,,,,
Tota Pulchra,205,,Gráfica 41,,,,,,,,,,,,,,,,,
Virgen del Apocalipsis,50,,,,,,,,,,,,,,,,,,,
Defensas,10,,,,,,,,,,,,,,,,,,,
