pais,conteo
United States,502.0
Mexico,137.0
Peru,66.0
Colombia,65.0
Chile,27.0
United Kingdom,16.0
Puerto Rico,11.0
Brazil,10.0
Ecuador,6.0
Venezuela,6.0
Argentina,5.0
Bolivia,2.0
Cuba,1.0
Guatemala,1.0
Haiti,1.0
Italy,1.0
