supertema,tema,obras
Ciclo Profetas,Abdías,2
Ciclo Profetas,Ageo,1
Ciclo Profetas,Amos,5
Ciclo Profetas,Baruc,1
Ciclo Profetas,Daniel.25
Ciclo Profetas,Ezequiel,4
Ciclo Profetas,Habacuc,3
Ciclo Profetas,Isaías,8
Ciclo Profetas,Jeremías,8
Ciclo Profetas,Joel,3
Ciclo Profetas,Jonás,7
Ciclo Profetas,Malaquías,3
Ciclo Profetas,Miqueas,3
Ciclo Profetas,Nahum,2
