name,total
Europeos y colonos,681,,
Miniaturas masculinas,247,,
Hombres indígenas,20,,
Europeas y colonas,387,,
Miniaturas femeninas,112,,Gráfica 11
Mujeres indígenas,3,,
Retrato infantíl,144,,
Grupos familiares,93,,
Reyes,2,,
