name,total,color
Infierno,14,1,
"Gloria, Trono y cielo ",14,1,
Purgatorio,120,1,
Muerte,61,1,
Juicio Final,40,2,
"Parusía, resurreción carne",6,2,
Juicio individual,6,1,
