categoria,anio,conteo
Alegorías y Emblemas,1816,
Alegorías y Emblemas,1817,
Alegorías y Emblemas,1818,
Alegorías y Emblemas,1819,
Alegorías y Emblemas,1820,
Alegorías y Emblemas,1821,
Alegorías y Emblemas,1822,
Alegorías y Emblemas,1824,
Alegorías y Emblemas,1830,
Alegorías y Emblemas,1832,
Alegorías y Emblemas,1834,
Alegorías y Emblemas,1840,
Alegorías y Emblemas,1850,
Alegorías y Emblemas,1852,
Alegorías y Emblemas,1858,
Alegorías y Emblemas,1860,
Ángeles,1500,2.0
Ángeles,1535,
Ángeles,1539,
Ángeles,1550,
Ángeles,1551,
Ángeles,1554,
Ángeles,1556,
Ángeles,1558,
Ángeles,1560,
Ángeles,1562,
Ángeles,1565,
Ángeles,1568,
Ángeles,1570,
Ángeles,1573,
Ángeles,1575,
Ángeles,1579,
Ángeles,1580,1.0
Ángeles,1581,1.0
Ángeles,1584,
Ángeles,1586,
Ángeles,1587,
Ángeles,1588,
Ángeles,1590,
Ángeles,1594,
Ángeles,1600,16.0
Ángeles,1602,
Ángeles,1603,
Ángeles,1604,
Ángeles,1605,
Ángeles,1606,
Ángeles,1607,
Ángeles,1609,
Ángeles,1610,1.0
Ángeles,1611,
Ángeles,1612,
Ángeles,1615,1.0
Ángeles,1616,
Ángeles,1618,
Ángeles,1619,
Ángeles,1620,2.0
Ángeles,1621,
Ángeles,1624,
Ángeles,1625,
Ángeles,1626,
Ángeles,1630,
Ángeles,1631,
Ángeles,1632,
Ángeles,1634,
Ángeles,1635,
Ángeles,1637,
Ángeles,1638,
Ángeles,1639,
Ángeles,1640,
Ángeles,1642,
Ángeles,1643,
Ángeles,1645,
Ángeles,1646,
Ángeles,1647,
Ángeles,1648,
Ángeles,1649,
Ángeles,1650,1.0
Ángeles,1652,
Ángeles,1653,
Ángeles,1655,
Ángeles,1656,
Ángeles,1658,
Ángeles,1659,
Ángeles,1660,
Ángeles,1661,
Ángeles,1662,
Ángeles,1665,
Ángeles,1666,1.0
Ángeles,1667,
Ángeles,1668,
Ángeles,1669,1.0
Ángeles,1670,14.0
Ángeles,1671,
Ángeles,1672,
Ángeles,1673,
Ángeles,1675,
Ángeles,1676,
Ángeles,1677,
Ángeles,1678,
Ángeles,1679,
Ángeles,1680,4.0
Ángeles,1681,
Ángeles,1683,
Ángeles,1684,
Ángeles,1685,
Ángeles,1686,
Ángeles,1687,
Ángeles,1688,
Ángeles,1689,
Ángeles,1690,1.0
Ángeles,1691,
Ángeles,1692,
Ángeles,1693,
Ángeles,1694,1.0
Ángeles,1695,
Ángeles,1697,
Ángeles,1698,
Ángeles,1699,
Ángeles,1700,36.0
Ángeles,1701,
Ángeles,1702,
Ángeles,1703,
Ángeles,1704,
Ángeles,1705,
Ángeles,1706,
Ángeles,1708,
Ángeles,1709,
Ángeles,1710,
Ángeles,1711,
Ángeles,1713,
Ángeles,1714,1.0
Ángeles,1715,1.0
Ángeles,1716,
Ángeles,1717,
Ángeles,1719,
Ángeles,1720,2.0
Ángeles,1721,
Ángeles,1723,
Ángeles,1724,
Ángeles,1725,
Ángeles,1726,
Ángeles,1727,1.0
Ángeles,1728,
Ángeles,1729,
Ángeles,1730,
Ángeles,1732,
Ángeles,1733,
Ángeles,1735,
Ángeles,1736,
Ángeles,1737,
Ángeles,1738,
Ángeles,1739,2.0
Ángeles,1740,
Ángeles,1741,
Ángeles,1743,
Ángeles,1744,
Ángeles,1745,
Ángeles,1746,
Ángeles,1747,
Ángeles,1749,
Ángeles,1750,2.0
Ángeles,1751,
Ángeles,1752,
Ángeles,1753,
Ángeles,1754,
Ángeles,1755,
Ángeles,1756,
Ángeles,1757,
Ángeles,1758,
Ángeles,1759,
Ángeles,1760,
Ángeles,1761,
Ángeles,1762,
Ángeles,1763,
Ángeles,1764,
Ángeles,1765,
Ángeles,1766,
Ángeles,1767,
Ángeles,1768,
Ángeles,1769,
Ángeles,1770,2.0
Ángeles,1771,
Ángeles,1772,
Ángeles,1773,
Ángeles,1774,
Ángeles,1775,1.0
Ángeles,1776,
Ángeles,1777,
Ángeles,1778,
Ángeles,1779,
Ángeles,1780,2.0
Ángeles,1781,
Ángeles,1782,
Ángeles,1783,
Ángeles,1784,
Ángeles,1785,
Ángeles,1786,
Ángeles,1787,
Ángeles,1788,
Ángeles,1789,
Ángeles,1790,
Ángeles,1791,
Ángeles,1792,
Ángeles,1793,
Ángeles,1794,
Ángeles,1795,
Ángeles,1797,
Ángeles,1799,
Ángeles,1800,1.0
Ángeles,1801,
Ángeles,1802,
Ángeles,1803,
Ángeles,1805,
Ángeles,1806,
Ángeles,1808,
Ángeles,1809,
Ángeles,1810,
Ángeles,1811,
Ángeles,1812,
Ángeles,1813,
Ángeles,1814,
Ángeles,1816,
Ángeles,1817,
Ángeles,1818,1.0
Ángeles,1819,
Ángeles,1820,1.0
Ángeles,1821,
Ángeles,1822,
Ángeles,1824,
Ángeles,1830,
Ángeles,1832,
Ángeles,1834,
Ángeles,1840,
Ángeles,1850,
Ángeles,1852,
Ángeles,1858,
Ángeles,1860,
Antiguo Testamento,1500,
Antiguo Testamento,1535,
Antiguo Testamento,1539,
Antiguo Testamento,1550,
Antiguo Testamento,1551,
Antiguo Testamento,1554,
Antiguo Testamento,1556,
Antiguo Testamento,1558,1.0
Antiguo Testamento,1560,
Antiguo Testamento,1562,14.0
Antiguo Testamento,1565,
Antiguo Testamento,1568,
Antiguo Testamento,1570,
Antiguo Testamento,1573,
Antiguo Testamento,1575,
Antiguo Testamento,1579,
Antiguo Testamento,1580,
Antiguo Testamento,1581,
Antiguo Testamento,1584,
Antiguo Testamento,1586,
Antiguo Testamento,1587,
Antiguo Testamento,1588,
Antiguo Testamento,1590,
Antiguo Testamento,1594,
Antiguo Testamento,1600,9.0
Antiguo Testamento,1602,
Antiguo Testamento,1603,
Antiguo Testamento,1604,
Antiguo Testamento,1605,
Antiguo Testamento,1606,
Antiguo Testamento,1607,
Antiguo Testamento,1609,
Antiguo Testamento,1610,
Antiguo Testamento,1611,
Antiguo Testamento,1612,
Antiguo Testamento,1615,
Antiguo Testamento,1616,
Antiguo Testamento,1618,
Antiguo Testamento,1619,
Antiguo Testamento,1620,
Antiguo Testamento,1621,
Antiguo Testamento,1624,
Antiguo Testamento,1625,
Antiguo Testamento,1626,
Antiguo Testamento,1630,
Antiguo Testamento,1631,
Antiguo Testamento,1632,
Antiguo Testamento,1634,
Antiguo Testamento,1635,
Antiguo Testamento,1637,
Antiguo Testamento,1638,
Antiguo Testamento,1639,
Antiguo Testamento,1640,
Antiguo Testamento,1642,
Antiguo Testamento,1643,
Antiguo Testamento,1645,
Antiguo Testamento,1646,
Antiguo Testamento,1647,
Antiguo Testamento,1648,
Antiguo Testamento,1649,
Antiguo Testamento,1650,
Antiguo Testamento,1652,5.0
Antiguo Testamento,1653,
Antiguo Testamento,1655,
Antiguo Testamento,1656,
Antiguo Testamento,1658,
Antiguo Testamento,1659,
Antiguo Testamento,1660,
Antiguo Testamento,1661,
Antiguo Testamento,1662,
Antiguo Testamento,1665,
Antiguo Testamento,1666,
Antiguo Testamento,1667,
Antiguo Testamento,1668,
Antiguo Testamento,1669,
Antiguo Testamento,1670,
Antiguo Testamento,1671,
Antiguo Testamento,1672,
Antiguo Testamento,1673,
Antiguo Testamento,1675,
Antiguo Testamento,1676,
Antiguo Testamento,1677,
Antiguo Testamento,1678,
Antiguo Testamento,1679,
Antiguo Testamento,1680,1.0
Antiguo Testamento,1681,
Antiguo Testamento,1683,
Antiguo Testamento,1684,
Antiguo Testamento,1685,
Antiguo Testamento,1686,
Antiguo Testamento,1687,
Antiguo Testamento,1688,
Antiguo Testamento,1689,3.0
Antiguo Testamento,1690,1.0
Antiguo Testamento,1691,
Antiguo Testamento,1692,
Antiguo Testamento,1693,
Antiguo Testamento,1694,
Antiguo Testamento,1695,
Antiguo Testamento,1697,
Antiguo Testamento,1698,
Antiguo Testamento,1699,
Antiguo Testamento,1700,13.0
Antiguo Testamento,1701,
Antiguo Testamento,1702,
Antiguo Testamento,1703,
Antiguo Testamento,1704,
Antiguo Testamento,1705,
Antiguo Testamento,1706,
Antiguo Testamento,1708,
Antiguo Testamento,1709,
Antiguo Testamento,1710,
Antiguo Testamento,1711,
Antiguo Testamento,1713,
Antiguo Testamento,1714,
Antiguo Testamento,1715,
Antiguo Testamento,1716,
Antiguo Testamento,1717,
Antiguo Testamento,1719,
Antiguo Testamento,1720,
Antiguo Testamento,1721,
Antiguo Testamento,1723,
Antiguo Testamento,1724,
Antiguo Testamento,1725,
Antiguo Testamento,1726,
Antiguo Testamento,1727,
Antiguo Testamento,1728,
Antiguo Testamento,1729,
Antiguo Testamento,1730,
Antiguo Testamento,1732,
Antiguo Testamento,1733,
Antiguo Testamento,1735,1.0
Antiguo Testamento,1736,
Antiguo Testamento,1737,
Antiguo Testamento,1738,
Antiguo Testamento,1739,
Antiguo Testamento,1740,
Antiguo Testamento,1741,
Antiguo Testamento,1743,
Antiguo Testamento,1744,
Antiguo Testamento,1745,
Antiguo Testamento,1746,
Antiguo Testamento,1747,
Antiguo Testamento,1749,
Antiguo Testamento,1750,
Antiguo Testamento,1751,
Antiguo Testamento,1752,
Antiguo Testamento,1753,
Antiguo Testamento,1754,1.0
Antiguo Testamento,1755,
Antiguo Testamento,1756,
Antiguo Testamento,1757,
Antiguo Testamento,1758,
Antiguo Testamento,1759,
Antiguo Testamento,1760,
Antiguo Testamento,1761,
Antiguo Testamento,1762,
Antiguo Testamento,1763,
Antiguo Testamento,1764,
Antiguo Testamento,1765,
Antiguo Testamento,1766,
Antiguo Testamento,1767,
Antiguo Testamento,1768,
Antiguo Testamento,1769,
Antiguo Testamento,1770,
Antiguo Testamento,1771,
Antiguo Testamento,1772,
Antiguo Testamento,1773,
Antiguo Testamento,1774,
Antiguo Testamento,1775,
Antiguo Testamento,1776,
Antiguo Testamento,1777,
Antiguo Testamento,1778,
Antiguo Testamento,1779,
Antiguo Testamento,1780,
Antiguo Testamento,1781,
Antiguo Testamento,1782,1.0
Antiguo Testamento,1783,
