,pais,Participación,conteo
Lugar origen,Argentina,12.36%,11.00
,Bolivia,5.62%,5.00
,Brazil,10.11%,9.00
,Chile,1.12%,1.00
,Colombia,19.10%,17.00
,Ecuador,4.49%,4.00
,Mexico,19.10%,17.00
,Peru,25.84%,23.00
,United States,1.12%,1.00
,Venezuela,1.12%,1.00
