tema,,"% of Total conteo along Categoría 1 , Categoría 1",obras
Santos,Santos,29.94%,5749
Mariología,Mariología,26.69%,5125
Retrato,Retrato,15.57%,2989
Cristológico,Cristológico,8.56%,1644
Temas seculares,Temas seculares,4.70%,902
Alegorías y Emblemas,Alegorías y Emblemas,3.88%,745
Ángeles,Ángeles,2.99%,574
Dogma,Dogma,2.68%,515
Historia,Historia,2.42%,464
Antiguo Testamento,Antiguo Testamento,2.10%,403
Mística y Moral,Mística y Moral,0.47%,90
