,pais,Participación,conteo
Lugar origen,Bolivia,2.13%,1.00
,Brazil,23.40%,11.00
,Colombia,10.64%,5.00
,Ecuador,31.91%,15.00
,Mexico,29.79%,14.00
,Peru,2.13%,1.00
