pais,conteo
United States,951.0
Mexico,314.0
Colombia,201.0
Peru,151.0
Chile,71.0 
Argentina,35.0 
Brazil,23.0 
Guatemala,23.0 
Venezuela,18.0 
Bolivia,16.0 
Ecuador,12.0 
Puerto Rico,10.0 
Cuba,8.0
Haiti,1.0
