,pais,Participación,conteo
Lugar origen,Bolivia,3.22%,13.0
,Brazil,0.50%,2.0
,Cuba,0.99%,4.0
,Ecuador,1.49%,6.0
,Mexico,85.89%,347.0
,Peru,5.20%,21.0
,Puerto Rico,2.72%,11.0
