name,total
Apóstoles,573
Padres de la Iglesia,558
Evangelistas,202
Anacoretas y eremitas,110
Santos Iglesia Primitiva,66
Mártires Hombres,294
Eremitas mujeres,107
Santas Iglesia Primitiva,16
Mártires Mujeres,379
