categoria,anio,conteo,,,,,,,,,,,,,,,,,,,
Santas,1600,7.000,,,,,,,,,,,,,,,,,,,
Santas,1607,,,,,,,,,,,,,,,,,,,,
Santas,1635,,,,,,,,,,,,,,,,,,,,
Santas,1640,,,,,,,,,,,,,,,,,,,,
Santas,1650,,,,,,,,,,,,,,,,,,,,
Santas,1656,,,,,,,,,,,,,,,,,,,,
Santas,1660,,,,,,,,,,,,,,,,,,,,
Santas,1661,,,,,,,,,,,,,,,,,,,,
Santas,1668,,,,,,,,,,,,,,,,,,,,
Santas,1694,,,,,,,,,,,,,,,,,,,,
Santas,1700,6.000,,,,,,,,,,,,,,,,,,,
Santas,1745,,,,,,,,,,,,,,,,,,,,
Santas,1748,,,,,,,,,,,,,,,,,,,,
Santas,1757,,,,,,,,,,,,,,,,,,,,
Santas,1772,,,,,,,,,,,,,,,,,,,,
Santas,1775,,,,,,,,,,,,,,,,,,,,
Santas,1830,,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1600,8.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1607,2.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1635,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1640,2.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1650,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1656,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1660,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1661,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1668,2.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1694,,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1700,7.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1745,3.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1748,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1757,1.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1772,2.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1775,2.000,,,,,,,,,,,,,,,,,,,
Santos Masculinos,1830,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1600,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1607,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1635,1.000,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1640,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1650,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1656,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1660,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1661,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1668,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1694,1.000,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1700,1.000,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1745,1.000,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1748,1.000,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1757,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1772,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1775,,,,,,,,,,,,,,,,,,,,
Venerables y beatos,1830,1.000,,,,,,,,,,,,,,,,,,,
