pais,conteo,,,,,
Argentina,3,,,,,
Chile,5,,,,,
Colombia,11,,,,,
Ecuador,12,,,,,
Mexico,12,,,,,
Peru,22,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
